,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,NOC_advantage,Height_div_avg,Weight_div_avg,Age_div_avg
230379,115636,Bo Staffan Strand,M,28.0,188.0,74.0,Sweden,SWE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's High Jump,,0,0,0.0,3.02,-11.03,2.31
230507,115697,Jrgen Straub,M,26.0,182.0,62.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",Silver,1,0,0.3,-0.53,-16.56,1.73
230513,115702,Seibert Straughn,M,20.0,193.0,77.0,Barbados,BAR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,,0,0,0.06,10.58,-2.18,-4.82
230515,115702,Seibert Straughn,M,24.0,193.0,77.0,Barbados,BAR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,0,0.07,9.41,-3.31,-1.05
230583,115732,Kareem Streete-Thompson,M,19.0,183.0,91.0,Cayman Islands,CAY,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,0,0.0,-0.59,10.69,-6.05
230584,115732,Kareem Streete-Thompson,M,19.0,183.0,91.0,Cayman Islands,CAY,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Long Jump,,0,0,0.0,-0.59,10.69,-6.05
230585,115732,Kareem Streete-Thompson,M,27.0,183.0,91.0,Cayman Islands,CAY,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Long Jump,,0,0,0.0,-1.79,6.73,1.23
230586,115732,Kareem Streete-Thompson,M,31.0,183.0,91.0,Cayman Islands,CAY,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,0,0.0,-1.98,5.97,5.31
230587,115732,Kareem Streete-Thompson,M,31.0,183.0,91.0,Cayman Islands,CAY,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Long Jump,,0,0,0.0,-1.98,5.97,5.31
230623,115754,Patrik Sten Ola Strenius (Johansson-),M,24.0,174.0,75.0,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,0,0.04,-10.4,-7.43,-1.59
230680,115784,Savante Stringfellow,M,21.0,191.0,84.0,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Long Jump,,0,0,0.28,6.21,-0.27,-4.77
230701,115797,Mrcis trobinders,M,26.0,186.0,85.0,Latvia,LAT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Javelin Throw,,0,0,0.08,2.41,4.69,0.95
230702,115798,Rolands trobinders,M,24.0,190.0,103.0,Latvia,LAT,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Javelin Throw,,0,0,0.0,4.9,18.82,-1.82
230729,115811,Vadim Sergeyevich Strogalyev,M,29.0,183.0,76.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Pole Vault,,0,0,0.1,-1.98,-9.03,3.31
231028,115936,Norris Stubbs,M,19.0,173.0,68.0,Bahamas,BAH,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,,0,0,0.0,-8.58,-10.08,-5.52
231172,115992,"Michael Duane ""Mike"" Stulce",M,23.0,191.0,123.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Shot Put,Gold,1,0,0.28,7.41,42.69,-2.05
