,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,NOC_advantage,Height_div_avg,Weight_div_avg,Age_div_avg
113064,57280,Gerd Kanter,M,33.0,196.0,125.0,Estonia,EST,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Discus Throw,Bronze,1,1,0.0,10.49,39.36,7.33
113065,57280,Gerd Kanter,M,37.0,196.0,125.0,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Discus Throw,,0,2,0.0,10.9,40.82,11.18
113114,57308,Adil El-Kaouch,M,21.0,170.0,62.0,Morocco,MAR,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",,0,0,0.12,-14.79,-22.27,-4.77
113115,57308,Adil El-Kaouch,M,25.0,170.0,62.0,Morocco,MAR,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",,0,0,0.09,-14.98,-23.03,-0.69
113147,57326,Kitson Kapiriel,M,22.0,153.0,70.0,Federated States of Micronesia,FSM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,0,0.0,-32.1,-14.18,-3.82
113261,57370,Vasily Borisovich Kaptyukh,M,29.0,197.0,125.0,Belarus,BLR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Discus Throw,Bronze,1,0,0.0,12.6,42.57,3.41
113262,57370,Vasily Borisovich Kaptyukh,M,33.0,197.0,125.0,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Discus Throw,,0,1,0.0,12.21,40.73,7.23
113263,57370,Vasily Borisovich Kaptyukh,M,37.0,197.0,125.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Discus Throw,,0,1,0.0,12.02,39.97,11.31
113286,57382,Edward Kar,M,18.0,170.0,61.0,Liberia,LBR,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",,0,0,0.0,-11.69,-17.52,-6.58
113307,57391,Brahim Karabi,M,26.0,176.0,69.0,Tunisia,TUN,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres,,0,0,0.0,-5.24,-9.02,1.96
113438,57471,Ivaylo Karanyotov,M,22.0,178.0,64.0,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,,0,0,0.0,-4.53,-14.56,-2.27
113477,57492,Nikolay Karasyov,M,24.0,182.0,115.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Shot Put,,0,0,0.24,0.67,36.96,-0.57
113803,57649,Jim Peter Karlsson,M,25.0,175.0,75.0,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,0,0.04,-9.4,-7.43,-0.59
113852,57674,Jarmo Kalevi Krn,M,30.0,183.0,81.0,Finland,FIN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Long Jump,,0,0,0.1,0.58,1.82,5.18
114022,57756,Ossi Jalmari Karttunen,M,28.0,183.0,76.5,Finland,FIN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres,,0,0,0.12,0.16,-4.89,3.61
114096,57799,Takahiko Kasahara,M,21.0,180.0,75.0,Japan,JPN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,0,0.0,-2.42,-4.18,-3.82
114248,57858,"Jalal Ali ""Joe"" Kashmiri",M,29.0,192.0,114.0,Iran,IRI,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Discus Throw,,0,0,0.05,10.42,35.92,4.48
114283,57879,Mwana Bute Kasongo,M,24.0,187.0,72.0,Congo (Kinshasa),COD,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,,0,0,0.0,4.58,-7.18,-0.82
114577,58011,Eugnio Katombi,M,30.0,174.0,71.0,Angola,ANG,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 1,500 metres",,0,0,0.0,-8.42,-8.18,5.18
114579,58013,Gbor Katona,M,19.0,186.0,81.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Long Jump,,0,0,0.03,4.31,2.48,-5.58
114600,58025,Prodromos Katsantonis,M,20.0,180.0,73.0,Cyprus,CYP,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.0,-4.4,-9.43,-5.59
114603,58025,Prodromos Katsantonis,M,28.0,180.0,73.0,Cyprus,CYP,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,0,0.0,-4.98,-12.03,2.31
114625,58037,Dimitrios Kattis,M,28.0,194.0,80.0,Greece,GRE,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's High Jump,,0,0,0.0,12.38,2.88,3.97
114676,58067,Carl Kaufmann,M,24.0,183.0,76.0,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres,Silver,1,1,0.09,1.76,-2.02,-0.04
114709,58086,Lars Martin Kaupang,M,23.0,180.0,70.0,Norway,NOR,1976 Summer,1976,Summer,Montreal,Athletics,"Athletics Men's 1,500 metres",,0,0,0.09,-2.84,-11.39,-1.39
114814,58144,Shingo Kawabata,M,22.0,174.0,65.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,0,0.0,-10.79,-19.27,-3.77
114826,58154,Takayoshi Kawagoe,M,23.0,175.0,69.0,Japan,JPN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Long Jump,,0,0,0.0,-6.69,-9.52,-1.58
114899,58196,Bassam Kawas,M,23.0,165.0,52.0,Lebanon,LIB,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",,0,0,0.0,-18.59,-28.31,-2.05
114941,58219,Koru Kawazu,M,23.0,170.0,62.0,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Long Jump,,0,0,0.0,-11.33,-16.04,-1.57
115050,58278,Igors Jakovlevitch Kazanovs,M,28.0,186.0,81.0,Latvia,LAT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.08,2.41,0.69,2.95
115051,58278,Igors Jakovlevitch Kazanovs,M,32.0,186.0,81.0,Latvia,LAT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.09,1.6,-1.43,6.41
115108,58313,"Mitchell ""Mitch"" Kealey",M,24.0,178.0,62.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",,0,0,0.05,-7.14,-23.37,-1.54
115134,58329,"Thomas Joseph ""T. J."" Kearns",M,22.0,190.0,82.0,Ireland,IRL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.0,7.58,2.82,-2.82
115135,58329,"Thomas Joseph ""T. J."" Kearns",M,26.0,190.0,82.0,Ireland,IRL,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.0,6.41,1.69,0.95
115136,58329,"Thomas Joseph ""T. J."" Kearns",M,30.0,190.0,82.0,Ireland,IRL,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.0,5.6,-0.43,4.41
115186,58359,Salim Keddar,M,22.0,176.0,65.0,Algeria,ALG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 1,500 metres",,0,0,0.0,-9.1,-19.18,-3.82
115257,58403,Lambros Kefalas,M,26.0,178.0,71.0,Greece,GRE,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,,0,0,0.0,-4.53,-7.56,1.73
115301,58429,"Kipchoge Hezekieh ""Kip"" Keino",M,24.0,173.0,66.0,Kenya,KEN,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 1,500 metres",,0,0,0.15,-8.33,-12.04,-0.57
115303,58429,"Kipchoge Hezekieh ""Kip"" Keino",M,28.0,173.0,66.0,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 1,500 metres",Gold,1,0,0.15,-8.58,-12.08,3.48
115306,58429,"Kipchoge Hezekieh ""Kip"" Keino",M,32.0,173.0,66.0,Kenya,KEN,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",Silver,1,2,0.14,-8.69,-12.52,7.42
115312,58432,Tawai Keiruan,M,23.0,172.0,62.0,Vanuatu,VAN,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 1,500 metres",,0,0,0.0,-12.4,-20.43,-2.59
115323,58438,Francis Keita,M,18.0,170.0,72.0,Sierra Leone,SLE,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Long Jump,,0,0,0.0,-12.42,-7.18,-6.82
115396,58475,Endre Kelemen,M,28.0,190.0,81.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's High Jump,,0,0,0.02,7.16,-0.39,3.61
115583,58561,Barrie Harrison Kelly,M,28.0,180.0,75.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,,0,0,0.09,-1.58,-3.08,3.48
115696,58615,Nicholas Kemboi,M,18.0,155.0,53.0,Kenya,KEN,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",,0,0,0.09,-30.14,-32.37,-7.54
115697,58616,Simon Tirop Kemboi,M,25.0,178.0,74.0,Kenya,KEN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,0,0.18,-5.59,-6.31,-0.05
115747,58640,Troy Kemp,M,22.0,187.0,69.0,Bahamas,BAH,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's High Jump,,0,0,0.0,4.58,-10.18,-2.82
115748,58640,Troy Kemp,M,26.0,187.0,69.0,Bahamas,BAH,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's High Jump,,0,0,0.0,3.41,-11.31,0.95
115749,58640,Troy Kemp,M,30.0,187.0,69.0,Bahamas,BAH,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's High Jump,,0,0,0.0,2.6,-13.43,4.41
115861,58685,Sahr Kendor,M,17.0,172.0,52.0,Sierra Leone,SLE,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres,,0,0,0.0,-10.53,-26.56,-7.27
115866,58688,Sam Kendricks,M,23.0,185.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Pole Vault,Bronze,1,0,0.0,-0.1,-4.18,-2.82
115962,58725,Nery Gustavo Kennedy Roln,M,19.0,186.0,95.0,Paraguay,PAR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Javelin Throw,,0,0,0.0,2.41,14.69,-6.05
115963,58725,Nery Gustavo Kennedy Roln,M,27.0,186.0,95.0,Paraguay,PAR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Javelin Throw,,0,0,0.0,1.21,10.73,1.23
116018,58757,Brian William Kent-Smith,M,24.0,188.0,83.0,Great Britain,GBR,1960 Summer,1960,Summer,Roma,Athletics,"Athletics Men's 1,500 metres",,0,0,0.08,6.76,4.98,-0.04
116030,58765,Santino Kenyi,M,22.0,180.0,75.0,South Sudan,SSD,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 1,500 metres",,0,0,0.0,-5.1,-9.18,-3.82
116059,58781,Abraham Kepsin Kalpumu,M,20.0,169.0,70.0,Vanuatu,VAN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,0,0.0,-15.79,-14.27,-5.77
116078,58788,Francis Kerbiriou,M,21.0,178.0,66.0,France,FRA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,,0,1,0.06,-3.69,-12.52,-3.58
116124,58809,"Stephen ""Steve"" Kerho",M,24.0,188.0,75.0,Canada,CAN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.09,5.58,-4.18,-0.82
116623,59006,Kabelo Kgosiemang,M,22.0,188.0,74.0,Botswana,BOT,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's High Jump,,0,0,0.0,2.86,-11.37,-3.54
116688,59036,Lotfi Khada,M,19.0,180.0,75.0,Algeria,ALG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Long Jump,,0,0,0.18,-2.42,-4.18,-5.82
116715,59054,Mohamed Khaldi,M,25.0,172.0,60.0,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",,0,0,0.18,-12.79,-24.27,-0.77
116716,59054,Mohamed Khaldi,M,29.0,172.0,60.0,Algeria,ALG,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",,0,0,0.33,-12.98,-25.03,3.31
116736,59065,Khaled Khalifa Al-Shammari,M,22.0,186.0,68.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",,0,0,0.0,3.47,-10.56,-2.27
116740,59068,Omer Khalifa,M,27.0,174.0,64.0,Sudan,SUD,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",,0,0,0.0,-7.62,-13.12,2.97
116741,59068,Omer Khalifa,M,31.0,174.0,64.0,Sudan,SUD,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 1,500 metres",,0,0,0.0,-8.42,-15.18,6.18
116766,59084,Abdul Khaliq,M,27.0,171.0,69.0,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,,0,0,0.0,-10.24,-9.02,2.96
116798,59106,Khambieng Khamiar,M,24.0,174.0,58.0,Laos,LAO,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",,0,0,0.0,-9.59,-22.31,-1.05
116809,59113,Ali Khamis Abbas Ali Khamis,M,21.0,182.0,70.0,Bahrain,BRN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,,0,0,0.0,-3.1,-14.18,-4.82
116848,59141,Anar Khan,M,25.0,176.0,70.0,Pakistan,PAK,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 1,500 metres",,0,0,0.0,-5.33,-8.04,0.43
116860,59151,Haider Khan,M,27.0,190.0,88.0,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Shot Put,,0,0,0.0,8.76,9.98,2.96
116861,59151,Haider Khan,M,27.0,190.0,88.0,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Discus Throw,,0,0,0.0,8.76,9.98,2.96
116870,59157,"Lawrence G. ""Laurie"" Khan",M,21.0,169.0,61.0,Jamaica,JAM,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres,,0,0,0.1,-12.33,-17.04,-3.57
116878,59162,Mohan Khan,M,20.0,170.0,56.0,Bangladesh,BAN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,0,0.0,-15.51,-29.64,-5.67
116880,59164,Moses Zarak Khan,M,22.0,186.0,56.0,Fiji,FIJ,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 1,500 metres",,0,0,0.0,3.58,-23.18,-2.82
116885,59168,Nadir Khan,M,26.0,182.0,61.0,Pakistan,PAK,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",,0,0,0.0,-1.59,-19.31,0.95
116927,59201,Mothobi Kharitse,M,23.0,175.0,73.0,Lesotho,LES,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,0,0.0,-7.42,-6.18,-1.82
117019,59255,Panagiotis Khatzistathis,M,24.0,171.0,74.0,Greece,GRE,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Long Jump,,0,0,0.0,-11.84,-7.39,-0.39
117073,59286,Panh Khemanith,M,27.0,171.0,60.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres,,0,0,0.0,-11.53,-18.56,2.73
117122,59311,Dimitar Panayotov Khlebarov,M,25.0,177.0,65.0,Bulgaria,BUL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Pole Vault,,0,0,0.02,-4.24,-13.02,0.96
117123,59311,Dimitar Panayotov Khlebarov,M,30.0,177.0,65.0,Bulgaria,BUL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Pole Vault,,0,0,0.02,-4.33,-13.04,5.43
117129,59314,Oleksiy Khlopotnov,M,22.0,179.0,78.0,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,,0,0,0.26,-2.58,-0.08,-2.52
117250,59376,Bachana Khorava,M,23.0,171.0,67.0,Georgia,GEO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Long Jump,,0,0,0.0,-14.1,-17.18,-2.82
117316,59396,Ghabi Issa Al-Khouri,M,23.0,182.0,78.0,Lebanon,LIB,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Long Jump,,0,0,0.0,0.38,0.88,-1.03
117405,59441,Khristo Khristov,M,25.0,180.0,80.0,Bulgaria,BUL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Pole Vault,,0,0,0.02,-1.24,1.98,0.96
117432,59449,Nikola Mitov Khristov,M,28.0,184.0,125.0,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Shot Put,,0,0,0.0,1.47,46.44,3.73
117556,59494,Kgosiemang Khumoyarano,M,30.0,175.0,66.0,Botswana,BOT,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,0,0,0.0,-6.62,-11.12,5.97
117571,59506,Rustam Sakhibutdinovich Khusnutdinov,M,24.0,183.0,74.0,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Long Jump,,0,0,0.0,-1.79,-10.27,-1.77
117573,59508,Mohammed Salman H. Al-Khuwalidi,M,27.0,188.0,82.0,Saudi Arabia,KSA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Long Jump,,0,0,0.0,2.86,-3.37,1.46
117618,59524,Antoine Kiakouama,M,27.0,167.0,58.0,Congo (Brazzaville),CGO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,,0,0,0.0,-15.53,-20.56,2.73
117648,59536,David Ruto Kibet,M,28.0,189.0,68.0,Kenya,KEN,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",,0,0,0.18,5.41,-12.31,2.95
117652,59539,Raymond Kibet,M,20.0,185.0,64.0,Kenya,KEN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,,0,0,0.0,-0.1,-20.18,-5.82
117654,59541,Victor Kibet,M,24.0,173.0,68.0,Kenya,KEN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,,0,0,0.13,-11.98,-17.03,-1.69
117727,59581,Vaclavas Kidykas,M,26.0,197.0,115.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Discus Throw,,0,0,0.0,14.58,35.82,1.18
117728,59581,Vaclavas Kidykas,M,30.0,197.0,115.0,Lithuania,LTU,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Discus Throw,,0,0,0.18,13.41,34.69,4.95
117729,59581,Vaclavas Kidykas,M,34.0,197.0,115.0,Lithuania,LTU,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Discus Throw,,0,0,0.21,12.6,32.57,8.41
117730,59581,Vaclavas Kidykas,M,38.0,197.0,115.0,Lithuania,LTU,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Discus Throw,,0,0,0.29,12.21,30.73,12.23
117930,59673,Gary Kikaya Senga,M,26.0,184.0,75.0,Congo (Kinshasa),COD,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,,0,0,0.0,-0.98,-10.03,0.31
117931,59673,Gary Kikaya Senga,M,30.0,184.0,75.0,Congo (Kinshasa),COD,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,,0,0,0.0,-1.14,-10.37,4.46
118077,59741,Wolfgang Paul August Killing,M,23.0,186.0,72.0,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's High Jump,,0,0,0.14,3.16,-9.39,-1.39
118125,59766,Kim Bok-Joo,M,23.0,175.0,64.0,South Korea,KOR,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",,0,0,0.0,-6.62,-13.12,-1.03
118145,59777,Kim Bong-Yu,M,25.0,175.0,64.0,South Korea,KOR,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",,0,0,0.0,-8.59,-16.31,-0.05
118151,59781,Kim Byeong-Gi,M,26.0,170.0,80.0,South Korea,KOR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Discus Throw,,0,0,0.0,-11.33,1.96,1.43
118176,59797,Kim Cheol-Gyun,M,19.0,180.0,82.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Pole Vault,,0,0,0.0,-2.42,2.82,-5.82
118177,59797,Kim Cheol-Gyun,M,23.0,180.0,82.0,South Korea,KOR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Pole Vault,,0,0,0.0,-3.59,1.69,-2.05
118178,59797,Kim Cheol-Gyun,M,27.0,180.0,82.0,South Korea,KOR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Pole Vault,,0,0,0.0,-4.4,-0.43,1.41
118259,59830,Kim Deok-Hyeon,M,30.0,180.0,71.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Long Jump,,0,0,0.0,-5.1,-13.18,4.18
118364,59877,Kim Gi-Hun,M,24.0,177.0,93.0,South Korea,KOR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Javelin Throw,,0,0,0.0,-6.59,12.69,-1.05
118712,60064,Kim Jin-Tae,M,24.0,186.0,79.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.0,3.58,-0.18,-0.82
118721,60070,Kim Jong-Cheol,M,24.0,170.0,62.0,South Korea,KOR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,,0,0,0.0,-11.24,-16.02,-0.04
118741,60083,Kim Jong-Il,M,21.0,178.0,70.0,South Korea,KOR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Long Jump,,0,0,0.0,-3.62,-7.12,-3.03
118742,60083,Kim Jong-Il,M,26.0,178.0,70.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Long Jump,,0,0,0.0,-4.42,-9.18,1.18
118781,60112,Kim Kuk-Young,M,25.0,176.0,73.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,0,0.0,-9.1,-11.18,-0.82
119105,60283,Kim Tae-Hui,M,22.0,182.0,65.0,South Korea,KOR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's High Jump,,0,0,0.0,-2.4,-17.43,-3.59
119259,60374,Kim Yu-Seok,M,22.0,191.0,84.0,South Korea,KOR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Pole Vault,,0,0,0.0,6.02,-1.03,-3.69
119260,60374,Kim Yu-Seok,M,26.0,191.0,84.0,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Pole Vault,,0,0,0.0,5.86,-1.37,0.46
119261,60374,Kim Yu-Seok,M,30.0,191.0,84.0,South Korea,KOR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Pole Vault,,0,0,0.0,5.49,-1.64,4.33
119302,60398,Devilert Arsene Kimbembe,M,27.0,171.0,61.0,Congo (Brazzaville),CGO,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,0,0.0,-14.51,-24.64,1.33
119400,60449,Manfred Kinder,M,22.0,184.0,73.0,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres,,0,0,0.09,2.76,-5.02,-2.04
119404,60449,Manfred Kinder,M,30.0,184.0,73.0,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,,0,1,0.09,2.42,-5.08,5.48
119485,60487,John Stewart King,M,25.0,183.0,72.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Long Jump,,0,0,0.08,0.58,-7.18,0.18
119540,60514,Roger Nona Kingdom,M,21.0,185.0,91.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 110 metres Hurdles,Gold,1,0,0.31,3.38,13.88,-3.03
119541,60514,Roger Nona Kingdom,M,26.0,185.0,91.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 110 metres Hurdles,Gold,1,1,0.3,2.58,11.82,1.18
119591,60544,Jorma Vilho Paavali Kinnunen,M,22.0,175.0,77.5,Finland,FIN,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Javelin Throw,,0,0,0.12,-6.33,-0.54,-2.57
119592,60544,Jorma Vilho Paavali Kinnunen,M,26.0,175.0,77.5,Finland,FIN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Javelin Throw,Silver,1,0,0.12,-6.58,-0.58,1.48
119593,60544,Jorma Vilho Paavali Kinnunen,M,30.0,175.0,77.5,Finland,FIN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Javelin Throw,,0,1,0.13,-6.69,-1.02,5.42
119595,60546,Kimmo Paavali Kinnunen,M,20.0,187.0,91.0,Finland,FIN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Javelin Throw,,0,0,0.1,4.58,11.82,-4.82
119596,60546,Kimmo Paavali Kinnunen,M,24.0,187.0,91.0,Finland,FIN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Javelin Throw,,0,0,0.1,3.41,10.69,-1.05
119597,60546,Kimmo Paavali Kinnunen,M,28.0,187.0,91.0,Finland,FIN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Javelin Throw,,0,0,0.09,2.6,8.57,2.41
119642,60565,Craig Kinsley,M,23.0,185.0,88.0,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Javelin Throw,,0,0,0.23,-0.51,2.36,-2.67
119667,60582,Jubobaraye Joshua Kio,M,22.0,176.0,72.0,Nigeria,NGR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,,0,0,0.0,-6.53,-6.56,-2.27
119668,60582,Jubobaraye Joshua Kio,M,26.0,176.0,72.0,Nigeria,NGR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Long Jump,,0,0,0.0,-5.62,-5.12,1.97
119687,60592,Simeon Kipkemboi,M,28.0,190.0,74.0,Kenya,KEN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,,0,0,0.16,7.58,-5.18,3.18
119696,60596,Stephen Arusei Kipkorir Anyim,M,25.0,185.0,73.0,Kenya,KEN,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 1,500 metres",Bronze,1,0,0.19,0.6,-9.43,-0.59
