ID,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
80399,0,-4.68,-3.07,-3.3
83677,0,0.16,-3.87,8.71
108733,0,-3.84,-6.87,-0.29
870,0,-11.07,-17.88,0.77
86195,0,3.45,15.54,-1.3
54866,0,11.32,33.93,-6.3
64777,0,9.98,9.16,-0.23
75182,0,0.51,5.55,-1.03
26185,0,-2.15,-9.64,-2.88
15973,0,16.1,3.52,-0.61
78693,0,-3.49,-7.45,-3.03
97883,0,-4.02,-17.84,6.77
28599,0,3.51,3.55,-1.03
26882,0,-5.5,-11.07,0.14
14039,0,-1.49,-8.45,3.97
47710,0,8.68,11.15,1.4
19597,0,4.51,-1.45,-4.03
91787,0,6.38,39.12,-4.17
51812,0,13.38,10.12,-3.17
