,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
195442,98113,Viktor Radchenko,M,24.0,190.0,89.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Decathlon,,0,0,2.11,2.99,-1.03
195928,98383,Kristjan Rahnu,M,24.0,192.0,90.0,Estonia,EST,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,2.41,2.62,-1.72
196087,98449,Andres Raja,M,26.0,187.0,82.0,Estonia,EST,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,-2.95,-5.35,0.62
196243,98523,Dominique Rakotorahalahy,M,24.0,168.0,67.0,Madagascar,MAD,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Decathlon,,0,0,-17.09,-17.15,-1.91
197774,99304,Roman Razbeyko,M,27.0,188.0,89.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,0,-0.32,4.04,-0.32
200080,100488,"Gregory Roy ""Greg"" Richards",M,32.0,194.0,92.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Decathlon,,0,0,5.68,4.76,6.79
203920,102375,"Miroslav ""Miro"" Ronac Moeri",M,18.0,188.0,85.0,Peru,PER,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Decathlon,,0,0,0.1,0.24,-6.1
204346,102596,"Jacobus Cornelis ""Jack"" Rosendaal",M,22.0,184.0,84.0,Netherlands,NED,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Decathlon,,0,0,-4.78,-1.21,-4.12
205875,103333,Michele Rfenacht,M,24.0,186.0,86.0,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,,0,0,-1.44,1.28,-1.12
206844,103812,Ji Ryba,M,24.0,195.0,95.0,Czech Republic,CZE,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,0,6.68,10.04,-3.32
208938,104884,Karl Robert Saluri,M,22.0,178.0,75.0,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,,0,0,-10.1,-9.3,-4.4
209029,104940,"Frederick Ameen ""Fred"" Samara",M,26.0,183.0,80.0,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,,0,0,-4.15,-5.94,1.11
210540,105718,Franco Sar,M,26.0,188.0,88.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Decathlon,,0,0,3.93,6.13,1.83
210541,105718,Franco Sar,M,30.0,188.0,88.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Decathlon,,0,0,4.05,4.29,4.33
212563,106726,Christian Schenk,M,23.0,200.0,93.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Decathlon,Gold,1,0,11.68,5.76,-2.21
213198,107053,Stefan Schmid,M,30.0,186.0,78.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,0,-2.32,-6.96,2.68
213769,107348,Jean-Pierre Schoebel,M,23.0,188.0,88.0,France,FRA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,,0,0,2.09,3.03,-2.12
213896,107413,Florian Schnbeck,M,30.0,190.0,91.0,Germany,GER,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,0.41,3.62,4.28
214049,107482,Michael Schrader,M,21.0,184.0,81.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,-5.95,-6.35,-4.38
214138,107521,Stefan Schreyer,M,25.0,185.0,84.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,,0,0,-0.91,-0.97,-0.12
214686,107787,Eltjo Marinus Jan Schutter,M,23.0,191.0,78.0,Netherlands,NED,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,,0,0,3.85,-7.94,-1.89
214916,107889,Roland Schwarzl,M,23.0,199.0,91.0,Austria,AUT,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,,0,0,9.41,3.62,-2.72
215364,108127,Roman ebrle,M,25.0,186.0,88.0,Czech Republic,CZE,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,Silver,1,0,-2.32,3.04,-2.32
215365,108127,Roman ebrle,M,29.0,186.0,88.0,Czech Republic,CZE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Decathlon,Gold,1,1,-3.59,0.62,3.28
215366,108127,Roman ebrle,M,33.0,186.0,88.0,Czech Republic,CZE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,2,-3.95,0.65,7.62
215367,108127,Roman ebrle,M,37.0,186.0,88.0,Czech Republic,CZE,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,,0,2,-3.74,1.55,11.32
216567,108736,Hadi Sepehrzad,M,25.0,186.0,100.0,Iran,IRI,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,-3.95,12.65,-0.38
216689,108796,Dramane Sereme,M,22.0,181.0,80.0,Mali,MLI,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Decathlon,,0,0,-2.95,-3.71,-3.67
218795,109888,Simon Shirley,M,22.0,190.0,90.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Decathlon,,0,0,1.68,2.76,-3.21
218882,109930,Ilya Yuryevich Shkurenyov,M,21.0,191.0,82.0,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,,0,0,1.26,-4.45,-4.68
219082,110051,Nikolay Shubyonok,M,23.0,188.0,86.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,-1.95,-1.35,-2.38
221249,111180,Vijay Singh Chauhan,M,23.0,183.0,78.0,India,IND,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,,0,0,-2.91,-6.97,-2.12
221329,111234,Gurbachan Singh Randhawa,M,21.0,183.0,71.0,India,IND,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Decathlon,,0,0,-1.07,-10.87,-3.17
221493,111319,Eelco Peter Sintnicolaas,M,25.0,186.0,80.0,Netherlands,NED,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,,0,0,-3.74,-6.45,-0.68
221494,111319,Eelco Peter Sintnicolaas,M,29.0,186.0,80.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,,0,0,-2.1,-4.3,2.6
221719,111434,Damjan Sitar,M,26.0,196.0,88.0,Slovenia,SLO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,0,6.05,0.65,0.62
222494,111775,Ryszard Skowronek,M,23.0,183.0,81.0,Poland,POL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,,0,0,-2.91,-3.97,-2.12
222495,111775,Ryszard Skowronek,M,27.0,183.0,81.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,,0,0,-4.15,-4.94,2.11
