,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
211325,106120,Brian Saunders,M,24.0,183.0,68.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres,,0,0,2.85,-6.64,-0.88
211326,106120,Brian Saunders,M,24.0,183.0,68.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 400 metres Relay,,0,0,2.85,-6.64,-0.88
211327,106120,Brian Saunders,M,32.0,183.0,68.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,,0,0,3.81,-3.62,7.28
211328,106120,Brian Saunders,M,32.0,183.0,68.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,,0,0,3.81,-3.62,7.28
211338,106128,Hartley Cecil Saunders,M,20.0,183.0,80.0,Bahamas,BAH,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Triple Jump,,0,0,4.45,7.54,-5.3
211347,106136,"Clarence Nicholas ""Nick"" Saunders",M,20.0,188.0,75.0,Bermuda,BER,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's High Jump,,0,0,8.81,3.38,-4.72
211348,106136,"Clarence Nicholas ""Nick"" Saunders",M,25.0,188.0,75.0,Bermuda,BER,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's High Jump,,0,0,8.32,1.93,-0.3
211349,106136,"Clarence Nicholas ""Nick"" Saunders",M,28.0,188.0,75.0,Bermuda,BER,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's High Jump,,0,0,7.68,1.15,2.4
211360,106143,Wellington Saunders-Whymms,M,28.0,175.0,68.0,Bahamas,BAH,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,,0,0,-6.49,-8.45,1.97
211428,106162,Igor Sautkin,M,24.0,190.0,79.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Triple Jump,,0,0,8.94,3.69,-1.95
211458,106184,"Stephen Read ""Steve"" Savage",M,24.0,180.0,67.0,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 3,000 metres Steeplechase",,0,0,0.98,-5.84,-1.23
211461,106187,Vladimir Savanovi,M,31.0,180.0,70.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,,0,0,-0.9,-4.48,4.39
211477,106196,Viktor Hryhorovych Savchenko,M,23.0,176.0,76.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres Hurdles,,0,0,-3.02,3.16,-2.23
211482,106200,Borys Savchuk,M,21.0,187.0,83.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 200 metres,,0,0,8.45,10.54,-4.3
211483,106200,Borys Savchuk,M,21.0,187.0,83.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,,0,0,8.45,10.54,-4.3
211507,106214,Marius avelskis,M,22.0,179.0,70.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,,0,0,-1.9,-4.48,-4.61
211560,106237,Milovan Savi,M,23.0,192.0,72.0,Yugoslavia,YUG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 800 metres,,0,0,11.85,-2.64,-1.88
211561,106237,Milovan Savi,M,27.0,192.0,72.0,Yugoslavia,YUG,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,,0,0,12.5,-0.07,2.14
211562,106237,Milovan Savi,M,27.0,192.0,72.0,Yugoslavia,YUG,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,,0,0,12.5,-0.07,2.14
211564,106239,Sran Savi,M,28.0,177.0,68.0,Yugoslavia,YUG,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 4 x 400 metres Relay,,0,0,-1.47,-4.44,2.95
211603,106261,Savin Chem,M,28.0,171.0,67.0,Cambodia,CAM,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,,0,0,-8.02,-5.84,2.77
211609,106265,Vitaly Anatolyevich Savin,M,22.0,184.0,95.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,0,4.32,21.93,-3.3
211610,106265,Vitaly Anatolyevich Savin,M,22.0,184.0,95.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,1,0,4.32,21.93,-3.3
211611,106265,Vitaly Anatolyevich Savin,M,26.0,184.0,95.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,1,3.68,21.15,0.4
211612,106265,Vitaly Anatolyevich Savin,M,26.0,184.0,95.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1,3.68,21.15,0.4
211613,106265,Vitaly Anatolyevich Savin,M,30.0,184.0,95.0,Kazakhstan,KAZ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,1,2.94,19.69,4.05
211618,106268,Tero Tapani Saviniemi,M,21.0,192.0,90.0,Finland,FIN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Javelin Throw,,0,0,12.81,18.38,-3.72
