,index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
1430,54820,28091,Gennaro Di Napoli,M,24.0,182.0,62.0,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",,0,0,4.43,-1.33,-0.57
1431,54861,28114,Gerardo di Tolla Barraza,M,21.0,171.0,66.0,Peru,PER,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,,0,0,-4.56,-4.13,-2.8
1432,54930,28147,Mohamed Diakit,M,22.0,176.0,69.0,Guinea,GUI,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres,,0,0,-6.49,-2.58,-1.71
1433,54931,28148,Soriba Diakit,M,23.0,178.0,78.0,Guinea,GUI,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,0,-0.33,3.95,-1.59
1434,54932,28148,Soriba Diakit,M,23.0,178.0,78.0,Guinea,GUI,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Long Jump,,0,0,-2.9,4.54,-1.02
1435,54941,28155,Boubacar Diallo,M,25.0,176.0,65.0,Senegal,SEN,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,,0,0,-0.28,-4.83,1.17
1436,54944,28155,Boubacar Diallo,M,29.0,176.0,65.0,Senegal,SEN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,,0,0,-3.34,-5.8,5.07
1437,54987,28184,Ousmane Diarra,M,24.0,185.0,73.0,Senegal,SEN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,,0,0,6.04,2.3,-0.07
1438,54989,28185,Ousmane Diarra,M,21.0,186.0,82.0,Mali,MLI,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,0,8.77,9.71,-2.9
1439,54991,28185,Ousmane Diarra,M,25.0,186.0,82.0,Mali,MLI,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,0,7.67,7.95,0.41
1440,54993,28185,Ousmane Diarra,M,29.0,186.0,82.0,Mali,MLI,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,0,7.72,7.74,4.07
1441,55061,28221,Andrs Manuel Daz Daz,M,31.0,187.0,71.0,Spain,ESP,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",,0,0,8.78,6.4,6.48
1442,55076,28233,Edgardo Daz Daz,M,24.0,188.0,77.0,Puerto Rico,PUR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Pole Vault,,0,0,4.64,-0.09,-0.91
1443,55077,28233,Edgardo Daz Daz,M,28.0,188.0,77.0,Puerto Rico,PUR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Pole Vault,,0,0,2.11,-3.49,2.14
1444,55162,28291,Rodobaldo Daz Arrambarry,M,26.0,178.0,71.0,Cuba,CUB,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,,0,0,-0.98,-0.09,2.26
1445,55469,28454,Oscar Diesel,M,22.0,178.0,74.0,Paraguay,PAR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Long Jump,,0,0,-2.75,0.96,-1.89
1446,55581,28488,Samba Diye,M,27.0,185.0,75.0,Senegal,SEN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres,,0,0,4.12,2.35,3.02
1447,55692,28538,Karsten Dilla,M,27.0,188.0,82.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Pole Vault,,0,0,2.26,4.1,1.29
1448,55855,28622,Euripidis Dimosthenous,M,23.0,180.0,70.0,Cyprus,CYP,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,0,0,-0.52,-2.02,-1.65
1449,55856,28622,Euripidis Dimosthenous,M,27.0,180.0,70.0,Cyprus,CYP,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres,,0,0,-2.15,-4.15,2.4
1450,55859,28624,"Stylianos ""Stelios"" Dimotsios",M,29.0,183.0,81.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,,0,0,2.23,8.1,4.89
1451,56009,28698,Renato Dionisi,M,16.0,180.0,75.0,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Pole Vault,,0,0,0.2,2.0,-8.73
1452,56010,28698,Renato Dionisi,M,24.0,180.0,75.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Pole Vault,,0,0,-0.9,0.79,0.24
1453,56125,28757,Sriyantha Subash A. Dissanayake,M,23.0,176.0,66.0,Sri Lanka,SRI,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,0,-2.33,-8.05,-1.59
